sentiment	text
positive	I laughed at the end of Kendrick's black friday
neutral	Ed Sheeran concert tomorrow! Too bad I'm going to be super cranky lol
positive	A new: Big Brother, I am Cait and Bachelor in Paradise and another day off tomorrow!!! Yippee!!!!!!!
neutral	My dad tomorrow morning: did you meet Shawn?  Me: no  Dad: *hangs up*
neutral	This day in rock history: September 9th, 1965 Bob Dylan's Like a Rolling Stone reaches #2
negative	@Patriots Tom Brady to step down Tuesday morning from New England. States pressure is just too much. Resigns to his family. Updates Tuesday.
neutral	Dad shouldn't buy a brand new PS4 on a Sunday afternoon and then expect me to do my homework instead of playing on it all night
positive	Kris Bryant singles. That must feel good. B2B singles. Men on 1st and 2nd with one out.
neutral	If you try to run on Josh Hamilton, you're asking to be thrown out. His bat may be deteriorating, but that arm is still there.
neutral	2nd letter from Paul to the destitute Christians in Corinth. What a letter of encouragement. https://t.co/EChEEp0NxY
neutral	@olgatsami12 @CyprusTweets  Sister, if you really want to understand Islam, you have to read its 1st source: http://t.co/zp7YkgQKwn
neutral	Why am I seeing people with the #fifa16demo only on PS4 already when its out tomorrow? Its an Xbox sponsored game I thought?! @EASPORTSFIFA
negative	David Wright may be back, but deGrom looks really bad right now. The Mets should be taking 3 out of the next 4... http://t.co/nFgbKdurBJ
neutral	Arrived to beautiful sunshine in Milan, but thunderstorms predicted through Thursday/Friday/Saturday. Dry race at the moment. #F1
neutral	@aaronbarry_1 the games over so flip it over to Sunday Night RAW to see the Undertaker take on JOHN CENA
neutral	Boko Haram have strengthened their ties with Islamic State group. May God keep us in this country
positive	Wow!! Just waking up to this. Saw it up to 2-1 Murray in 3rd set. Anderson was unbelievable; incredible win. https://t.co/Txqzz5PUrr
positive	@MarieDJones Think Sharknado is on Netflix. While being a veggie today I may look for it. :)
negative	The Zoo miniseries may be the worst collection of images &amp; sounds man has ever produced. We're talking Sharknado w/o the self-awareness.
negative	@rupasubramanya your arguments may be valid in an overarching debate on DP. Too late in the game now for Yakub. Folks shut have spoken...
positive	Good morning!! Today's my 6th day of work in a row and I should be super tired, but no! Because it's Star Wars day!! Less than 16 hours!!
positive	Me today = this. Glad I took a day's leave after not getting back from Foo Fighters gig until half 3 this morning. https://t.co/Ud8dyxN8fC
neutral	@TidersAlliance gerard way, green day, nirvana, memphis may fire, we the kings, the foo fighters, union j, fall out boy, jordan sweeto ect.
neutral	I'm going to @flo_tweet at Forum Milan in Milan, Italy - Dec 21 http://t.co/Gs34kAl6ns
negative	Chris Evans is worse for wear as he parties with wife at London's Chiltern Firehouse following festive TFI Fri... https://t.co/ebIT9x8jvQ
neutral	This is Anti Climax..Yakub may get reprieve because of legal wrangles ..Is it match fixing ? https://t.co/fWY8mQ00I2
positive	Just beat Dark Souls for the very first time! Thanks to everyone who showed up and hung out along the way. Starting on Saturday: Bows only!
negative	hope this isnt another False Flag by MOSSAD in Paris like Charlie Hebdo bullshit. France is playing ball with Israel so it may not be them
neutral	@DanWolken there's just something about Sunday's that throws Dustin Johnson off. Maybe he can get back going on Monday.
negative	I haven't even officially started working at Dunkin yet and I already don't want to go in tomorrow lol
positive	There may be nothing more exciting in WWE than the buildup to a Randy Orton RKO
positive	Who else is excited about Go Set a Watchman by Harper Lee, which hits stores this Tuesday? Stop by Barnes &amp; Noble... http://t.co/7A3mG21REx
neutral	Barnes 7-yard TD pass and Curtis retakes the lead with under a minute left to play, lead 46-41 over Tottenville in the 4th.
positive	Monday mornings with Cate Blanchett sure don't suck. @ JW Marriott Essex House New York https://t.co/Bkge3Upk8u
neutral	Under #SexySocialism David Cameron &amp; George Osborne will undertake the 1st manned mission 2 Pluto.
negative	Muslims, you're so good at marching against religious persecution why don't you go to Syria and March for the Christian's. Show your honesty
positive	Alright Randy Orton's body is the 8th wonder of the world
positive	VIENNA (Reuters) - Russia's envoy to the U.N. nuclear watchdog said on Monday he expected a historic nuclear deal between Iran and world
positive	@Rolfyekim  Welcome to the 21st century, cuz!  Ginger and I saw Foo Fighters last Sunday, here's a pic. http://t.co/fG4tz5TDnG
neutral	Well, @kourtneyleibman may be happy that Thor is hosting SNL, but I'm looking forward to Chance the Rapper.
neutral	was feeling the urge to intrude sm mnl's 3rd floor earlier and check if Paper Towns is still showing. realized 2 things:
negative	"Where vanished ""candle brigade"" which used to march on every terror attack, demanding justice? Wud U march with candles to ""HANG"" Yakub?"
neutral	Lobsters? Aliens? Ipads? Kim Kardashian? Today's Sunday Survey - The unusual things you've seen in a Nativity play. https://t.co/mxd8IXXlL0
neutral	I'm about to try and convince my mom to let me go to the ed Sheeran concert tomorrow pls hope it works
neutral	Ben Carson just now on Fox: Christians deserve more 1st Amendment protection than other faiths because US was founded on Judeo-Xtian values.
neutral	"@rayhanburhan Annoyingly, when you search ""Sufism"" what appears are concerts of sema which may not even have anything to do with Islam.hais."
neutral	I may have just gotten my friend into kpop
positive	@TaraReid I hope to see u in Sharknado 4! April just gave birth to a baby inside a freaking shark! she can survive everything! #AprilLives
positive	Tomorrow kicks off Muslim Awareness Week! Come to our first event tomorrow at 11:00 a.m.: the Brown Bag on Islam. http://t.co/OMHCbOfETY
positive	So Calibraska which be fully released on the 24th! A whole week earlier, aren't we lucky!
negative	@BAMAPERRY Hell it may be their idea to flood Europe with Muslims and then the take over begins world wide towel head dominance
neutral	John Kasich cartoon needed different caption: Sun News Letter to the Editor http://t.co/TKoBKuTNup #Shaker
neutral	@TheTodayShow @klgandhoda I know you all will make a big dial over Prince George Bday, remember Winnie Fallon July 23rd. #orangeroom
negative	Someone said that they might snub Kendrick on all 11 nominations or he may get just 1. If that happens then it's clearly rigged.
positive	at https://t.co/m3Fi9nZ3OC you'll see they're also doing a David Bowie night at Los Globos January 23. My band is called Gene G. Nee. JOIN!
neutral	Again, I'm selling two tickets to see Ed Sheeran on September 3rd in Houston DM me if you wanna buy them   (((someone pls buy them)))
positive	Frank Gifford and Al Michaels are the voices I hear when I think about Monday night football @MikeAndMike
positive	In honour of Ice Cube I'm smokin 2 blunts and drinking an Old English right before watching the movie Straight Outta Compton tomorrow.
neutral	"Saudi, Turkey, US nervous as two sponsored ""moderate"" rebels against Asad were eliminated? By the US&amp;Israel method? https://t.co/fqvlLrkoHe"
negative	Boko Haram member Mahamat Moustapha, a Nigerian, alleged to have been the mastermind of the June suicide attack in... http://t.co/MeCHhE7jvB
positive	Ice Cube please make a another friday. Do it with Dae daes character smokie, and yourself. Pretty please#Cube Vision
neutral	#suvelo twilight #crit is on this friday! A,B,C grade available. sign-on from 5:30pm, racing starts at 6pm. $10 entry! spread the news!
positive	Hope every celebrating Eid had a fantastic time!!! We will be open from tomorrow again at 12pm. Thank you for... http://t.co/BCKV0Qs5bN
positive	Sam Smith is singing the song for the new James Bond. I think I may have fallen in love even more. #spectre #bond
neutral	Gucci plenty yourself balance august embody the duet yours specific inwardly access so that for alive and kick...
neutral	They waiting on Kendrick like the 1st and the 15th
positive	@ caroemerald Def 'Back It Up' please! Amazing @BIC Bmth last year! This year will see you @tdellaluna in Milan on 07 Nov. Cant wait!! :-) X
positive	I wish I could see Shawn on the 8th
positive	paul mccartney is coming to detroit and columbus in October!!! does anyone want to go with me??? @deannaniese @deannaniese @MaddyTooman
positive	Ever since May 5, Big Brother season has been in full swing. There hasn't been a day since wherein I haven't watched BB. #BB17 #BBUK #PBB737
neutral	@Treyarch Are you going to extend the #BO3Beta till Monday like you did with the PS4 for Xbox One and PC
neutral	What does &amp;apos;Bye, Felicia&amp;apos; mean? Ice Cube explains the &amp;apos;Friday&amp;apos; phrase http://t.co/9gtMfd1zoH via @Zap2it
neutral	@LifeofSigh Else you just end up in some horrible censorship whirlpool. Then you may as well be Saudi Arabia.
neutral	~Championship. Seth Rollins can run his mouth about me all he wants, but when August 23rd comes, the time for talk is over!
neutral	y'all are gonna get spammed af on tuesday for the sam smith concert
neutral	FRIDAY: Randy Orton vs. Rebel in a Fans Bring the Weapons Match
neutral	@CLouvi Speaking of Mark Cuban... are you going to watch Sharknado 3 tomorrow? :-)
neutral	so if anyone wants to bring me donuts or anything on monday id be gucci with it.
positive	@ChristySpratlin I mean it was announced UTD beat out Rookie Blue and UTD and Big Brother were the only shows that did well last Thursday!
positive	There you go! Murray breaks back in the 3rd. Can he make another comeback here? Looooong way to go! #USOpen2015 #@usopen
positive	May 11th 2016 is the day I see the love of my life Justin bieber
positive	1 set up and has already broken Murray in the 2nd. This is beautiful from Kevin
positive	Thanks to my mother in law, I am going to see Justin Bieber in march. I am the happiest person alive rn
positive	Happy Captain America Day! David Wright batting 4th tonight. Mets, yo.
positive	Ice Cube's son O'Shea Jackson Jr may very well be the Denzel Washington of our generation. Dude is a beast
positive	Tom Brady is the quarterback of all time, no conversation whatsoever. Go debate your blind 5th cousin.
neutral	Free this week: August 3 Figure Four Weekly: Detailed look at why Gawker thinks the FBI covered for Hulk Hogan http://t.co/g1tJGi93Y4 #wwe
neutral	RHP Taylor Grover comes in for Salem and retires the Nationals 1, 2, 3 in the 9th to close out the 4-2 Red Sox win and the season is over.
neutral	Red Sox games really are all about the 7th inning stretch
neutral	Does Moto G 3rd Gen support 4G on both the sims (band 3 and 40)
positive	Seth Rollins rolling in with a STRONG Saturday Night Fever feel.... #SummerSlam
neutral	Milan vs Empoli preview: Will the Rossoneri bounce back on Saturday night? - http://t.co/7yWDPv73N6 #MilanEmpoli #SerieATIM
neutral	[chris Evans is the presenter of TFI Friday and they're being sarcastic in case you don't get British humour]
neutral	ok tomorrow I'll try to post the signs as nirvana members and songs -j
negative	Celebrity Big Brother reminds me of that Simpsons halloween episode when all those awful celebrities are on a plane to the sun.
neutral	@GrizzlyNuts bruhhhh my birthdays saturday but i work all day but after that ill be gucci. its beeen entirely way too long man
neutral	Friday night Briana was riding some guy giving him a lap dance at the lounge we were at and I was either crying to Fetty Wap or sleeping
negative	@dubs_mike80 If Escobar was hurt I would hope you would be calling for Thor's suspension. If KC throws up tomorrow, you should have no prob
neutral	Just reminding you all that it's August 8th and there's still no album from Frank Ocean http://t.co/1yesgHjmQR
neutral	"Why Christmas and not ""Holiday""? Us Jews (and perhaps Muslims) might want to know?  https://t.co/WAvF4bitVN"
negative	I'm gonna watch Sharknado 3 cause I have no tv shows to watch on a Wednesday not cause I enjoy it.
neutral	See you in April @KygoMusic in Milan!
neutral	Why am I just hearing this? ... Kendrick Lamar - Black Friday by TopDawgEnt #np on #SoundCloud https://t.co/L0zxMm2rtd
negative	Sharknado 3 comes on tonight. Yes, a movie about a shark tornado has made it to a 3rd movie, and yes, I too have lost all faith in humanity.
neutral	#weeds #drug Miss USA contestants take stage in 64th annual pageant: Women from across the country Sunday took... http://t.co/zXt4jb135x
positive	Ice Cube's son better be in the new Friday movie
negative	Gov.Ventura is right Abortion is premeditated murder in the 1st degree Scott Walker's law is stupid Who shed's  man's blood By man hisBshed
positive	It's Wake up Wednesday at Cambridge!  Stop by the Clubhouse for Dunkin' Donuts and juice.
neutral	HQ || Niall at the US open in NYC (Sept 2nd 2015) 29-32 http://t.co/mTM9NuIm6Y
negative	Caitlyn Jenner may be charged with manslaughter for fatal crash: The accident occurred whe... http://t.co/KUVX4VjNg9 #cadillac #escalade
neutral	Lady Gaga appeared to momentarily regret her choice of evening wear on Saturday night, as she attempted to... https://t.co/R56xv55AE0
neutral	GO SET A WATCHMAN drops tomorrow. ICYMI, I talked to indie bookstores around the country about their preparations http://t.co/Xp4UaKd4G5
positive	Festive Friday and Star Wars Day is just around the corner.
neutral	Doesn't even feel real that I'm starting sixth form tomorrow in my head I'm still 8 years old and obsessed with John Cena and Triple H
positive	Don't forget all films before 5pm are just a fiver for all!  Valid Mon - Fri only. Book now and enjoy Ant-Man,... http://t.co/gIj6jeuho1
positive	Hello metalheads! Is Monday treating you badly? Let the music take over! Iron Maiden ~Misty~  #ironmaiden #metalmusic http://t.co/SyYgeUMwgn
neutral	"All I did was look up ""Kpop"" and BTS was on the 3rd row.  This makes me feel proud ????"
neutral	Just another typical Saturday!!!! Madison is reenacting the @taylorswift13  Bad Blood video with her Dolls
neutral	So he's every bullpen pitcher the Red Sox have ever had? https://t.co/Ezk3Km3Ydx
positive	And that's gonna conclude my Live Tweeting Thursday with the Nirvana marathon. Thanks for tuning in! #LiveTweetingThursday
neutral	Rolling stone watchful eye gratuity seeing that celebrating the octave of april: Wiphbdute
positive	i want dunkin tomorrow morning lol
neutral	Actress and comedian Amy Schumer shared an intimate portrait on Monday that he would try a last-ditch appeal to New Zealand's High Court.
positive	@jaeladulce im so happy for you,welcome to Islam! may Allah bless you with His never ending blessings &amp;make your heart firm on His religion.
positive	A very good maxim - one that Boko Haram had the privilege to enjoy during the Jonathan Administration &amp; may still! https://t.co/8gxflzMrGx
neutral	"Thank 'G-d' #Trump delayed his visit to the 'Temple Mount.' It may have damaged ""Israel's"" sterling reputation"
neutral	@HoldTheMilan If Milan will reach final Copa Italia, but they lost against e.g. Juventus, if Juventus in the league their position 3rd. 1/2
positive	Foo Fighters tonight and tomorrow. I'm gonna have myself a foo-king great weekend... and I hope YOU do too! http://t.co/EyRdkqzYmS
positive	Tom Brady is locked for Thursday. Let the season begin! #RepeatSeason
neutral	Brawler Martin Maulers came all the way from Prince George to get #lockedin for their 20th anniversary. Can they get out before their 21st?!
positive	@Rowan_Courtney no actually i made a video for the john cena meme ill tweet it tomorrow and ill tag you iTS COMEDY GOLD I SWEAR
positive	Thursday is National Hot Dog Day! JE will be serving hot dogs to our staff &amp; raising $ for United Way of Manatee! How are you celebrating?
positive	Gucci plenty id secret december appear the dual thine concrete on adjuvant into advocating enlivened: cavQCieRU
positive	Tomorrow #brownbag #lunch w/ @BBBSMB: info session @CICBoston. Learn about the Big Brother experience &amp; how you can make an impact.
negative	Today I sat down and make a conscious effort to try to actually like a U2 song. Unsuccessful.
negative	dolorous edd would be the kid in 7th grade who nods when ppl talk about nirvana but has no actual idea what it is
neutral	Shevchenko for me in his Milan days. Although I may be slightly biased as he's a personal friend.   #ChampionsLeague https://t.co/0nFAsgc94T
negative	12 Aug 2015 - one day, 3 countries (Philippines, Egypt, Afghanistan) 6 infidels murdered by Muslims  #tcot #ccot #TeaParty #tgdn
negative	Live:Supreme Court approved the death warrant,Yakub will be hanged tomorrow at 7 am in Nagpur Jail@PranabMukherjee@PMNarendraModi
neutral	@Flipkart I had made a purchase of Moto G 3rd Gen and was eligible for Moto360 @ Re 1 &amp; 100% cashback.Where can I check the list of winners?
positive	Your girl is going to see Justin Bieber in March!!This by far is the best Christmas gift ever, thank you @OVOreyes22 https://t.co/n4FVj5Fwc4
negative	I don't like Kanye West because he doesn't smile. -8th grade girl
neutral	He may not longer be the representative of the @QuartetRep but Tony Blair is still heading up this initiative.  https://t.co/ln4UC1305d
neutral	Rumor is, John Cena is fighting in the WWE SUPER SLAM, this Sunday night, just $49.95
positive	@matt_reality93 @Matty_C96 Big Brother when on C4 never aired the show on a Saturday night, instead aired live feed on E4, it worked better
positive	@Joanovarc am heading to see the Foo Fighters on Saturday, but if I'm honest, am more excited to see u lot at #Balstock - don't tell my g/f
positive	Carly Fiorina 2nd amendment is about your God-given right to self-preservation and fail safe against tyranny http://t.co/0ellOAi5Lg
neutral	To be fair to Keshi he didn't call up many second division players to the Super Eagles just 1st division bench warmers ahead of regulars
negative	Lol the same Sam Smith song has played 3 times already, if it plays for a 4th I will scratch someone's eyes out
positive	@realDonaldTrump  Dear Mr. Trump, you should be the 1st candidate to offer debate spot to Carly Fiorina,or boycott debate if she is left out
neutral	You March to Aso rock and Super Eagles play football match in Abuja stadium get it right people, if you play with matches you get burnt
positive	Olivia Jordan is the 2nd American woman to hold the title of both Miss World America and Miss USA http://t.co/BguBzbBA83
negative	@camilahauregui Camila is promoting the shit out of her single and faved James tweet from The Vamps, Normani and Lauren may be throwing+
neutral	We want to tell people how great Islam is yet we are not great Muslims. May our actions speak louder than our words.
positive	Straight Outta Compton's success hopefully convinces New Line Cinema to give Ice Cube the right budget for the last Friday movie.
negative	Of course Nigeria blames the U.S. for not being able to fight Boko Haram. 3rd world countries don't want to progress. Just depend on others.
positive	#KissMyAssGreenDayTheBest metallica,iron maiden,ac/dc,avenged sevenfold,killswitch engage,miss may I, the best.
positive	Kris Bryant helped the Chicago Cubs to a sweet victory against the Arizona Diamondbacks Sunday when he smashed the record for longest hit
neutral	2nd day of college and i'm already going in wearing yoga pants and hoodie
neutral	That they may see &amp; know, consider &amp; understand, That the hand of the Lord has done this, the Holy One of Israel has created it. Is. 41:20
negative	Well Jokes apart, today or tomorrow Yakub has to meet with with 72 Hoors. S
negative	Carly fiorina may try to get sympathy votes from women by using the cancer card. #FeelTheBern #Bernie2016
neutral	Rousey, Volleyball, Gilas, FIBA bid, Atoy Co's shirt, and the opening of a new Premiere League season. What a transition into a Monday.
positive	Sharknado 3 comes out tomorrow and I think I'm going to cry with happiness
negative	@Mets keep uribe in. Wright cant throw from 1st to 3rd on the fly. David wright sucks the life out of this team. He's an AVERAGE player.
positive	Ed Sheeran may be the best musically talented person of this generation
negative	@gr0sse maybe that's a weird 1st message to ever send you aside from (nicee ) on your drawings but that is a lot of gay
neutral	Despite scoring 4 in the 8th, White Sox couldn't overcome an early deficit. A 2-run HR by Kyle Seager and RBIs by... http://t.co/mGB4j4o4b7
positive	Deadlines are overrated. Sometimes process needs room to blossom. Looking forward to the final piece, Frank Ocean. https://t.co/ECDDYcP1k9
neutral	Maybe the ponies in Ponyville have interesting things to talk about! C'mon, Twilight, just try! #Spikebot
positive	Ant-man is getting good reviews, might have to go watch it sunday night
neutral	it is confirmed that briana will give birth on April 1st.
neutral	watching the VMAs tomorrow just so I can watch Nicki call Miley out on her dumb shit
positive	"@TheVampsJames ""would absolutely"" Now you are coming on MAY 14th. I love you #MTVStars The Vamps https://t.co/ZIWBGOW7Js"
negative	Today is 9 months since the 26 March start of Saudi Arabia's US and UK-assisted war on Yemen. There is no end in sight.
positive	WHEN I THINK OF YOU by JANET JACKSON was no.10 in the UK charts on 8 September 1986 https://t.co/tzosEVkqeg
positive	Red Sox falling apart in the 10th. It's so beautiful.  And I'm so, so, so sleepy.
neutral	he Charlie Hebdo shooting from January and the situation right now are 2 separate events. get it right.
neutral	@madversity @anuragkashyap72 @IAmSudhirMishra For sequel question is if Imtiaz Ali ready to act as Yakub. He played the same in black friday
neutral	Probably a sleepless night for 1 Herkimer County boy, who'll get to celebrate his birthday tomorrow with Jason Aldean http://t.co/8Q7lFmtKei
positive	@CincinnatiChris Hope the forecast clears up for Sat.  Heading up there to see Foo Fighters at Wrigley.
positive	@HuffingtonPost whats her name standing back of miss usa and crowning her,she is cute and beautiful..may be more than miss usa
positive	Ima just go catch a matinee of Ant-Man by myself tomorrow lol
neutral	Dear Twitterverse, may I please have a gif of Murray's F-bombs into the ESPN camera? I need it for future Mondays. Pls and thanks.
neutral	I may be trapped in Thor for a decade but I have cookies so I might make it
neutral	@sonja_jaja I'm literally struggling as we speak--I'm traveling in March and I listen to soooo much KPop that it's past time!
neutral	Domino's song of the day for tomorrow, September 3rd, is:  Ed Sheeran - Photograph  Listen for it sometime... http://t.co/T8DtrVjgpf
neutral	@celebhelpers do you know if yall will be looking at hotel info for Ed Sheeran in Houston on September 3rd?
neutral	Frank Gifford: The Glory Game: How the 1958 NFL Championship Changed Football Forever by Frank Gifford (18-Nov-2008)  http://t.co/lq8zuLROgv
positive	I fail to be an Ant in my new video! Ant-Man review coming tomorrow guys hope you like it!
positive	Definitely going to have to take a trip to Dunkin on Saturday before the early ass scrimmage
neutral	@BenSoffa @rodadams46 the homeland security.con team rely on itThe biggest bomb  IRA campaign was set off in Dublin by Mi6 it was also 1st
neutral	"Released Friday: ""A Love Song to the Earth"" by Paul McCartney, Jon Bon Jovi, Sheryl Crow, Fergie, Sean Paul,... http://t.co/asFpPVjBLn"
neutral	@FreeAmerican100 @RedStateJake @MG2CANsand @HumbleMan9 be overflowing with Conservative an Christians its one Saturday
positive	@absoluteradio Havn't heard it for ages; SLIVER - Nirvana; 1st Nirvana tune I heard, &amp; 'danced' to, in a Sheff. 'club - &amp; still a great tune
positive	Drake White And The Big Fire.  Tonight and tomorrow at Citifield with Zac Brown Band.  They go on at 7p.  Don't... http://t.co/Jskm9J7wj9
positive	Gucci down to the socks like I'm Biggie Poppa. Babbbyyyy!  https://t.co/mz4PQrLxWo
negative	"Opinion: Sheriff Hammond should apologize for his ""inflammatory"" comments about Islam. http://t.co/rplBmKZ6uo"
neutral	Beltran padding up his 2nd half of the season numbers. Actually, everyone can do that with this Red Sox pitching staff today. #NYYvsBOS
neutral	"when i worked at NYU my gay italian boss would leave on fridays before 3-day weekends and say ""see you next tuesday!"" to every one of us"
neutral	Kim Davis is against gay marriage, but not against getting pregnant by her 3rd husband while married to her 1st. Pity the husband #2.
neutral	Zack, Type 1 for too long, Wishing it was Friday so I can listen to Iron Maiden's new album. #dcde
neutral	@thedaveschram @Tim_Deegan @LeahDaniels next year, Craven will have the Zac Brown Band on Friday after years of requesting them!
positive	@businessinsider Donald may not be to fuzzy on idea, but Carly Fiorina might make a good VP. She would help for Obvious reasons!
positive	"Time for a new Tuesday cover! This is U2's ""with or without you"" with Ralph Koopman!  Really enjoyed his join and... http://t.co/edIIG0eTa3"
positive	Hope to see @austin_laws break out the Gucci sign Friday
positive	Backstage Interview with The Vamps!  Planet's 5th Birthday Bash in Las Vegas was unforgettable! Following a... https://t.co/oaIlbyL0q2
neutral	"I may be a bit slow on the uptake but I am sure David Bowie sang ""Ground Control to Major TOM""??? and not ""Captain Tim""???"
positive	No matter what happens tomorrow, the important thing is whether or not Frank Ocean puts out another album
neutral	Murray avoids the sack and run for a 1st down.
positive	Happy 2nd birthday to Prince George!!!  With the mention of birthdays, comment below with your little persons... http://t.co/0MMjf1KLRo
negative	Floyd Mayweather has got to be the most disrespectful athlete. Ali is 5th on your list? Your pathetic. #disrespect #aliisthegoat
negative	My wife hates when I watch the sunset listening to U2. But I'm not the only one, staring at the sun.
positive	#dailymail Carly Fiorina poll jump from 11th to 7th might fall short of CNN's 'top ten': Fiorina's rise in the... http://t.co/aGiaUrxYGy
positive	I may not be your John Legend to give you All of Me but I will be your Ed Sheeran to love you 'till we're seventy.
neutral	LOL Kole Calhoun bat flip down 6 to David Price in the 8th. Wear the next one*, punk. (* not really)
neutral	I hope I can catch Sharknado 3 Oh Hell No tomorrow night idc how bad it is
neutral	Nooww it's September 2 and we still don't have our schedules PRINCE GEORGE WAS GOOD?
neutral	Today or Tomorrow night work have to been done by midnight. No shame or sharing with twilight your future will be bright.
positive	LET'S GO BLUE JAYS! Wheels have come off the Red Sox in the 10th. #ComeTogether
positive	I hope when I have a son he's as cute as Prince George. Happy 2nd birthday you cutie! http://t.co/Kt54DRu1HG
neutral	Is Caitlyn Jenner more attracted to men or women? On this Sunday's episode of I Am Cait, the 65-year-old reality star is faced with that
neutral	For anyone listening tomorrow, I confused Peter Pan with Moby Dick, I didn't confuse Thor and Wolverine.
positive	His voice will take you to an other planet  , rolling stone still gives me the chills  . See you in December @theweeknd .
positive	chris evans, robert downey jr, krysten ritter and fob are all on jimmy kimmel tonight omg i think i may cry
positive	I can't say that Rollins is the best WWE champ of all time....but he may rank above Hulk Hogan. Brother Brother Brother Brother #Raw
positive	Niall is probably going to see 5sos tomorrow in NJ, love my luck :))
neutral	@uk_acmilan Galliani is in the past and he lacks the reality of the modern day Milan. Players don't wake up thinking of Milan 1st choice.
neutral	Anyone want to buy a Jason Aldean ticket for tomorrow night? I have two.
positive	Kind of equally excited at staying in watching The Soup finale tonight as I am for going out to see Amy Schumer tomorrow. Well...kind of
neutral	Looks like Murray is gonna have to do it the hard way again! 1 set down, 3-1 in the 2nd set! #ustennisopen
positive	might as well go see Ant-Man for the 4th time again since its release..
neutral	Inter EP #2 80% edited and RTC #10 100% edited for tomorrow! Can now get cracking on some footage for EP #3 when its the Milan derby!!
neutral	'Seth Rollins' appeared on Tuesday 11 at the 16th place in the Top20 of Manchester's Trends: http://t.co/hg2glCdjGM #trndnl
neutral	Is Seth Rollins the most talked about wwe champion of all time of being clowned every Monday nite??I mean everybody takes turns on him
positive	Did you know that 'Gucci' was Trending Topic on Friday 21 for 9 hours in Jackson? http://t.co/bykAq2hJo6 #trndnl
positive	It's Saturday night &amp; @RetroGaijin is playing Dark Souls! He has a face only you could love https://t.co/omwtJOpIgU https://t.co/gXavwfExCx
negative	Still tired from Eid on Friday, it's a shame I couldn't eat much bc of this nasty germy thing
positive	Ahhh then one may attain nirvana at the supermarket. https://t.co/f4nV9AD2xl
neutral	Launching Moto G ( 3rd Gen) | Special Exchange Offer only for you!  Starting At Rs. 11,999  http://t.co/UsHGWz2R9T
negative	I'm a fan of some really weird music but the new David Bowie may be the strangest I've ever heard. Not even sure what I just saw
neutral	I was rolling saturday at my cousin Shawn talking about the disbelief of him about to have a daughter right in front of his GF/BM
positive	"The White Sox say Mike Olt is expected to join the team ""in the coming days."" Sox back here against the Indians on Monday."
positive	People may talk ill about Sam Smith 's orientation. But I must state that his songs still remain my anthem in the morning! @samsmithworld
positive	I can listen to the whole Ed Sheeran album from th 1st song to the last without skipping any song
negative	Kurian Joseph, who raised stupid doubts about modi's good friday meet, now questions about yakub's death penalty.Some ppl never learn
positive	Celebrate the Fall Harvest at the Flickerwood Wine Fest September 26 &amp; 27 in Kane http://t.co/iEh9mU6nc2 #thingstodoinPA #fallharvest
neutral	The Israel Antiquities Authority turned to the public on Tuesday in a Facebook post in an attempt to understand... https://t.co/DsZyGtKwB8
positive	@justinbieber I received the best gift anyone could ask for!!! JUSTIN BIEBER TICKETS! See you in Jun in Lincoln Justin!!! #PURPOSETOUR
neutral	Nigerian Troops have discovered Boko Haram terrorists supply routes: Nigerian troops on Wednesday said it has ... http://t.co/cuNI8nmoua
positive	Wow. New Jay pitcher David Price comes as advertised. 8 innings, 11 strikeouts, 1st win as a Blue Jay! Bring it!
neutral	Took a trip to the original Suplex City for Brock Lesnar's homecoming at WWE Monday Night Raw in Minneapolis. http://t.co/peuKoe9b3B
neutral	Dustin Johnson runs out of coke by the 4th round
positive	It should be settled in the minds of Christians that the Holy Scriptures are a spiritual light far brighter than the sun - Martin Luther
neutral	Floyd Mayweather says he will fight September 12th (again)... but no opponent yet  What do you think?  #boxing... http://t.co/4wO7gGHCr5
positive	It's that kind of a night that you need to listen to U2 while thinking of everything that you need to accomplish tomorrow.
negative	Having a really hard time processing that Connor Howell sat on the Curtis side at the game last night.
positive	And Shawn just said we can go to the commons on Friday so now I'm happy (:
neutral	@NFLfantasy @adamrank Would u start Big Ben or Tom Brady next Thursday night ? I'm going against Cousins or Eli.
positive	4th day of Eid ul-Fitr, all smile, all smile :) #kosongkosong courtesy photo by zeeyasmi https://t.co/BMVZuZhW9X
negative	@hotspur423 as fans we should expect 6th and visible improvements in style. He will have to drop Kane for the cups now which is very sad.
neutral	Calibraska had gone down to 6th in the UK!! #CalibraksaEP
neutral	I will give more solo dm with Zayn tomorrow, so stay active and turn notifs on. :) x
neutral	I need to log off now bc school starts tomorrow and I'm still not done with my summer hw. Have a Shawn pic (not mine) http://t.co/4BD4QLR8xz
negative	It would appear that Muslims may be many and good but Islam is a philosophy of hate. I see nothing to make me think otherwise. God help them
neutral	Hector Nuris's error from a David Wright dribbler plates Daniel Murphy as the Mets extend the lead to 8-5 in the 13th inning.
neutral	been asking for Justin Bieber to be under my tree since the 6th grade.... still waiting
positive	Calibraska released for the 1st time 4hrs ago now it's out everywhere and #1 on the iTunes charts so proud of @JackJackJohnson @jackgilinsky
positive	@5SOS Yepo I came in Milan it was my 1st concert and it was so good you guys did an amazing job! You are flawless live like PERFECT!
positive	Okay Justin Bieber may not be the best role model out there but damn he got some good songs out now
neutral	Hanley Ramirez (shoulder) remained out of the Red Sox' lineup Wednesday.
